k,zx,zy,valid
556,11.401450,7.498123,1
557,10.871589,5.304444,1
558,-53.376581,55.611136,1
559,0.000000,0.000000,0
560,11.254957,2.990214,1
561,11.287911,3.752782,1
562,14.017781,6.297532,1
563,11.267594,3.736600,1
564,9.488587,2.713842,1
565,60.484376,30.184762,1
566,10.658636,6.327840,1
567,9.630621,4.807415,1
568,13.194008,4.543741,1
569,-71.720143,-35.669720,1
570,0.000000,0.000000,0
571,15.492671,7.055090,1
572,10.477762,3.060968,1
573,9.498766,2.972570,1
574,10.578437,7.216425,1
575,-67.255671,29.804346,1
576,-51.782167,46.647775,1
577,10.600680,6.668414,1
578,10.616948,4.665325,1
579,10.689010,8.924256,1
580,9.476725,3.347926,1
581,8.618067,6.474661,1
582,14.644244,7.056673,1
583,10.471539,7.244226,1
584,11.558096,4.210782,1
585,13.463482,4.276263,1
586,0.000000,0.000000,0
587,0.000000,0.000000,0
588,-16.469403,55.131762,1
589,10.426547,7.234955,1
590,29.531142,76.857042,1
591,12.471886,8.849162,1
592,0.000000,0.000000,0
593,15.572704,7.122953,1
594,0.000000,0.000000,0
595,0.000000,0.000000,0
596,11.904554,6.101066,1
597,10.150796,8.256606,1
598,0.000000,0.000000,0
599,-0.461707,43.950074,1
